sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ni-Mo Alloy (Ni-30Mo; B-2)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetamide";"ethanamide";"";"60-35-5";"C2H5NO";"amides";"";"";"100";"275 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"2";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"";"";"5 – 35";"75 – 175";"<20";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";""
"3";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"";"";">5";"25 – 75";"<2";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";""
"4";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"";"";">5";"175 – 225";"<2";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";""
"5";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"";"";">35";"75 – 175";"<2";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";""
"6";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetic anhydride";"";"";"108-24-7";"C4H6O3";"anhydrides";"";"";"100";"25 – 225";"<2";"";"3,119,208,219,220";"";"";"";"";"";"";"";"";"";"";""
"7";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetoacetic acid";"";"";"541-50-4";"C4H6O3";"organic (weak) acids";"";"";">5";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"8";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"";"";">5";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"9";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetone cyanohydrin";"";"";"75-86-5";"C4H7NO";"nitriles";"";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"10";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aceto-p-toluidine";"";"";"";"";"amides";"";"";"100";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";""
"11";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetotoluidine";"";"";"";"";"amides";"";"";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"12";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetyl chloride";"ethanoyl chloride";"";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";""
"13";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetylene";"ethyne";"";"74-86-2";"C2H2";"hydrocarbons";"";"";"100";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";""
"14";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetylene chloride";"";"";"";"";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";""
"15";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acrolein";"2-propenal";"";"107-02-8";"C3H4O";"aldehydes";"";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"16";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acrylonitrile";"propenenitrile";"";"107-13-1";"C3H3N";"nitriles";"";"";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"17";"Ni-Mo Alloy (Ni-30Mo; B-2)";"alkanesulfonic acids";"";"";"";"";"surfactants & detergents";"";"";"100";"25 – 125";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"18";"Ni-Mo Alloy (Ni-30Mo; B-2)";"alkanesulfonic acids";"";"";"";"";"surfactants & detergents";"";"";"100";"125 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"19";"Ni-Mo Alloy (Ni-30Mo; B-2)";"alkyl naphthalene sulfonates";"";"";"";"";"surfactants & detergents";"";"";"100";"175 – 225";"<20";"";"207,215,219,220";"";"";"";"";"";"";"";"";"";"";""
"20";"Ni-Mo Alloy (Ni-30Mo; B-2)";"alkylaryl sulfonic acids";"";"";"";"";"surfactants & detergents";"";"";"25 – 35";"125 – 175";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"21";"Ni-Mo Alloy (Ni-30Mo; B-2)";"alkylaryl sulfonic acids";"";"";"";"";"surfactants & detergents";"";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"22";"Ni-Mo Alloy (Ni-30Mo; B-2)";"alkylphenol";"";"";"";"";"phenols";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Mo Alloy (Ni-30Mo; B-2)";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"";"";">5";"25 – 225";"<2";"";"207,215,219";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Mo Alloy (Ni-30Mo; B-2)";"allyl chloride";"3-chloropropene";"";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"";"85 – 95";"75 – 225";"<20";"";"32,210,219";"";"";"";"";"";"";"";"";"";"";""
"25";"Ni-Mo Alloy (Ni-30Mo; B-2)";"allyl chloride";"3-chloropropene";"";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"";">85";"25 – 75";"<2";"";"32,210,219";"";"";"";"";"";"";"";"";"";"";""
"26";"Ni-Mo Alloy (Ni-30Mo; B-2)";"allyl chloride";"3-chloropropene";"";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"32,210,219";"";"";"";"";"";"";"";"";"";"";""
"27";"Ni-Mo Alloy (Ni-30Mo; B-2)";"allylidene diacetate";"";"";"";"";"esters";"";"";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"28";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum acetate";"";"";"";"";"salts";"";"";"5 – 95";"25 – 125";"<2";"";"208,219,220";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum acetate";"";"";"";"";"salts";"";"";"5 – 95";"125 – 225";"<20";"";"208,219,220";"";"";"";"";"";"";"";"";"";"";""
"30";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum chlorate";"";"";"";"";"salts";"";"";"15 – 25";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";""
"31";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"";"5 – 40";"25 – 75";"<2";"";"5,152,210,219";"";"";"";"";"";"";"";"";"";"";""
"32";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"";"100";"175 – 225";"20 – 50";"";"5,152,210,219";"";"";"";"";"";"";"";"";"";"";""
"33";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum diformate";"";"";"";"";"organic acid salts";"";"";"5 – 15";"25 – 225";"<20";"";"209,219";"";"";"";"";"";"";"";"";"";"";""
"34";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum diformate";"";"";"";"";"organic acid salts";"";"";"100";"25 – 225";"<20";"";"209,219";"";"";"";"";"";"";"";"";"";"";""
"35";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum ethylate";"aluminum ethoxide";"";"555-75-9";"C6H15AlO3";"reducing agents";"";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"36";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum fluosilicate";"";"";"";"";"";"";"";"15 – 25";"25 – 75";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"37";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum fluosilicate";"";"";"";"";"";"";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"38";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum nitrate";"";"";"";"";"salts";"";"";"5 – 15";"25 – 75";"<20";"";"215,219";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"";"";"5 – 15";"175 – 225";">50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";""
