sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Niobium (Columbium)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Niobium (Columbium)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"";"any";"0 – 212";"<2";"2,140,208,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Niobium (Columbium)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"";"any";"0 – 212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Niobium (Columbium)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"<40";"0 – 212";"<2";"5,152,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Niobium (Columbium)";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"";"<20";"0 – 212";"<2";"215,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Niobium (Columbium)";"ammonia";"";"";"7664-41-7";"H3N";"bases";"";"100";"0 – 212";"<2";"8,148,217,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Niobium (Columbium)";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"";"10";"212";"<2";"10,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Niobium (Columbium)";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"";"100";"0 – 212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Niobium (Columbium)";"amyl chloride";"1-chloropentane";"";"543-59-9";"C5H11Cl";"alkyl halides";"";"100";"0 – 212";"<2";"32,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Niobium (Columbium)";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"";"100";"0 – 212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Niobium (Columbium)";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"";"5";"0 – 212";"<2";"20,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Niobium (Columbium)";"boric acid";"";"";"";"";"inorganic acids";"";"5";"0 – 212";"<2";"21,132,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Niobium (Columbium)";"bromine";"";"dry";"7726-95-6";"Br2";"";"";"100";"0 – 212";"<2";"20,129,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Niobium (Columbium)";"bromine";"";"wet";"7726-95-6";"Br2";"";"";"100";"0 – 140";"<2";"20,129,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Niobium (Columbium)";"bromine";"";"wet";"7726-95-6";"Br2";"";"";"100";"212";">50";"20,129,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Niobium (Columbium)";"calcium chloride";"hydrophilite";"";"10043-52-4";"CaCl2";"salts";"";"<70";"212";"<2";"25,111,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Niobium (Columbium)";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"";"100";"0 – 482";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Niobium (Columbium)";"carbon disulfide";"carbon bisulfide";"";"75-15-0";"CS2";"solvents";"";"100";"140";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Niobium (Columbium)";"chlorine";"";"";"7782-50-5";"Cl2";"";"";"100";"0 – 392";"<2";"33,144,211,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Niobium (Columbium)";"chromic acid";"";"";"";"";"inorganic acids";"";"60";"0 – 140";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Niobium (Columbium)";"chromic acid";"";"";"";"";"inorganic acids";"";"80";"212";">50";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Niobium (Columbium)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"";"<60";"212";"<2";"39,135,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Niobium (Columbium)";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"";"<50";"0 – 239";"<2";"42,216,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Niobium (Columbium)";"cyclohexane";"hexahydrobenzene";"";"110-82-7";"C6H12";"hydrocarbons";"";"100";"212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Niobium (Columbium)";"ethyl ether";"diethyl ether";"";"60-29-7";"C4H10O";"ethers";"";"100";"212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Niobium (Columbium)";"ethylene glycol";"1,2-ethanediol";"";"107-21-1";"C2H6O2";"alcohols";"";"any";"0 – 212";"<2";"46,125,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Niobium (Columbium)";"ferric chloride";"iron chloride";"";"7705-08-0";"Cl3Fe";"salts";"";"<50";"0 – 212";"<2";"47,116,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Niobium (Columbium)";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"";"<60";"0 – 212";"<2";"48,136,207,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Niobium (Columbium)";"fluorine";"";"gas";"7782-41-4";"F2";"";"";"100";"77";">50";"51,129,214,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Niobium (Columbium)";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"";"any";"0 – 212";"<2";"53,209,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Niobium (Columbium)";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"";"<95";"0 – 212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Niobium (Columbium)";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"";"100";"47 – 212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Niobium (Columbium)";"glycerol";"1,2,3-trihydroxypropane";"";"56-81-5";"C3H8O3";"alcohols";"";"any";"0 – 212";"<2";"57,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Niobium (Columbium)";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"";"10";"77";"<2";"59,142,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Niobium (Columbium)";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"";"10";"149 – 500";">50";"59,142,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Niobium (Columbium)";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"";"36";"77";"20 – 50";"59,142,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
