sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetaldehyde";"ethanal";"";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"40";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetaldehyde";"ethanal";"";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetaldehyde";"ethanal";"";"75-07-0";"C2H4O";"aldehydes";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended; weight gain ";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";"10";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable; weight gain ";"10";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetic acid";"ethanoic acid";"vapor";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"15 – 40";"185 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";"20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"20";"70 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"50";"60 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"70 – 80";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended; softened, ";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended; disintegrated";"100";"150 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetic anhydride";"";"";"108-24-7";"C4H6O3";"anhydrides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetic anhydride";"";"";"108-24-7";"C4H6O3";"anhydrides";"2";"questionable";"100";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"2";"questionable";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"3";"not recommended";"50";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"3";"not recommended; may dissolve ";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acetylene";"ethyne";"";"74-86-2";"C2H2";"hydrocarbons";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acid mine water";"";"";"";"";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"acrylonitrile";"propenenitrile";"";"107-13-1";"C3H3N";"nitriles";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"adipic acid";"";"saturated";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"adipic acid";"";"";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"allyl chloride";"3-chloropropene";"";"107-05-1";"C3H5Cl";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum ammonium sulfate";"ammonium alum";"";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum fluoride";"aluminum trifluoride";"";"7784-18-1";"AlF3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum hydroxide";"bayerite";"";"21645-51-2";"AlH3O3";"hydroxides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum nitrate";"";"";"";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
