sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ceramics";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Ceramics";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended; recommended 1%, 23-50°C (73-122°F)";"10";"70 – 125";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Ceramics";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended";"20 – 30";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Ceramics";"dicyclohexylammonium nitrite";"";"";"";"";"1";"recommended";"10";"75 – 170";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Ceramics";"dicyclohexylammonium nitrite";"";"";"";"";"1";"recommended";"100";"75 – 170";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Ceramics";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"1";"recommended; recommended 1%, 23-90°C (73-194°F)";"10";"70 – 125";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Ceramics";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"1";"recommended";"20";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Ceramics";"hydrochloric acid";"hydrogen chloride";"7647-01-0";"ClH";"inorganic acids";"1";"recommended";"40";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Ceramics";"sodium hydroxide";"caustic soda";"1310-73-2";"HNaO";"bases";"1";"recommended; 1% recommended";"10 – 20";"70 – 125";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Ceramics";"sodium hydroxide";"caustic soda";"1310-73-2";"HNaO";"bases";"3";"not recommended";"20";"125 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Ceramics";"sodium hydroxide";"caustic soda";"1310-73-2";"HNaO";"bases";"1";"recommended";"50";"70 – 125";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Ceramics";"sulfuric acid";"oil of vitriol";"7664-93-9";"H2O4S";"inorganic acids";"1";"recommended; 1% recommended";"10 – 20";"70 – 125";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Ceramics";"sulfuric acid";"oil of vitriol";"7664-93-9";"H2O4S";"inorganic acids";"3";"not recommended";"10 – 20";"125 – 200";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Ceramics";"sulfuric acid";"oil of vitriol";"7664-93-9";"H2O4S";"inorganic acids";"1";"recommended";"98";"70 – 125";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
