sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Epoxy Resin, Glass Fiber- Reinforced";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Epoxy Resin, Glass Fiber- Reinforced";"acetaldehyde";"ethanal";"";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Epoxy Resin, Glass Fiber- Reinforced";"acetaldehyde";"ethanal";"";"75-07-0";"C2H4O";"aldehydes";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Epoxy Resin, Glass Fiber- Reinforced";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"10";"100 – 200";"";"aromatic amine cured epoxy";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Glass Fiber- Reinforced";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"10 – 50";"70 – 120";"";"aromatic amine cured epoxy";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"20";"100 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Glass Fiber- Reinforced";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"50";"120";"";"aromatic amine cured epoxy";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Resin, Glass Fiber- Reinforced";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"75 – 80";"70 – 120";"";"aromatic amine cured epoxy";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Resin, Glass Fiber- Reinforced";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"80";"100 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"100";"100 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"1";"recommended";"<5";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"1";"recommended";"100";"70 – 120";"";"aromatic amine cured epoxy";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Glass Fiber- Reinforced";"acrylic acid";"2-propenoic acid";"";"1979-10-07";"C3H4O2";"organic (weak) acids";"1";"recommended";"95";"70 – 125";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Glass Fiber- Reinforced";"acrylic acid";"2-propenoic acid";"";"1979-10-07";"C3H4O2";"organic (weak) acids";"2";"questionable";"95";"125 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Glass Fiber- Reinforced";"adipic acid";"";"";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"10";"70 – 250";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"15";"Epoxy Resin, Glass Fiber- Reinforced";"air";"";"dry, wet";"";"";"gases";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"16";"Epoxy Resin, Glass Fiber- Reinforced";"allyl chloride";"3-chloropropene";"";"107-05-1";"C3H5Cl";"halogenated aliphatics";"1";"recommended";"100";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Epoxy Resin, Glass Fiber- Reinforced";"allyl chloride";"3-chloropropene";"";"107-05-1";"C3H5Cl";"halogenated aliphatics";"3";"not recommended";"100";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Epoxy Resin, Glass Fiber- Reinforced";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"1";"70 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"19";"Epoxy Resin, Glass Fiber- Reinforced";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"10";"70 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"20";"Epoxy Resin, Glass Fiber- Reinforced";"aluminum chloride";"aluminum trichloride";"saturated";"7446-70-0";"AlCl3";"salts";"1";"recommended";"100";"70 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"21";"Epoxy Resin, Glass Fiber- Reinforced";"aluminum fluoride";"aluminum trifluoride";"";"7784-18-1";"AlF3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"22";"Epoxy Resin, Glass Fiber- Reinforced";"aluminum hydroxide";"bayerite";"saturated";"21645-51-2";"AlH3O3";"hydroxides";"1";"recommended";"100";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"23";"Epoxy Resin, Glass Fiber- Reinforced";"aluminum nitrate";"";"";"";"";"salts";"1";"recommended";"20";"70 – 225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"24";"Epoxy Resin, Glass Fiber- Reinforced";"aluminum nitrate";"";"";"";"";"salts";"1";"recommended";"50";"70 – 225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"25";"Epoxy Resin, Glass Fiber- Reinforced";"aluminum nitrate";"";"saturated";"";"";"salts";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"26";"Epoxy Resin, Glass Fiber- Reinforced";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";"60";"70 – 225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"27";"Epoxy Resin, Glass Fiber- Reinforced";"aluminum potassium sulfate";"potassium aluminum sulfate";"saturated";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"28";"Epoxy Resin, Glass Fiber- Reinforced";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";"20";"70 – 225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"29";"Epoxy Resin, Glass Fiber- Reinforced";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";"50";"70 – 225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"30";"Epoxy Resin, Glass Fiber- Reinforced";"aluminum sulfate";"alunogenite";"saturated";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"31";"Epoxy Resin, Glass Fiber- Reinforced";"ammonia";"";"wet";"7664-41-7";"H3N";"bases";"1";"recommended";"90";"70 – 100";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"32";"Epoxy Resin, Glass Fiber- Reinforced";"ammonia";"";"";"7664-41-7";"H3N";"bases";"1";"recommended";">90";"70 – 100";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"33";"Epoxy Resin, Glass Fiber- Reinforced";"ammonia";"";"";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"70 – 150";"";"no water";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"34";"Epoxy Resin, Glass Fiber- Reinforced";"ammonium carbonate";"";"saturated";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"100";"70 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"35";"Epoxy Resin, Glass Fiber- Reinforced";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"20";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"36";"Epoxy Resin, Glass Fiber- Reinforced";"ammonium chloride";"sal ammoniac";"saturated";"12125-02-9";"ClH4N";"salts";"1";"recommended";"100";"70 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"37";"Epoxy Resin, Glass Fiber- Reinforced";"ammonium fluoride";"";"saturated";"12125-01-8";"FH4N";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"38";"Epoxy Resin, Glass Fiber- Reinforced";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended";"<10";"150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"39";"Epoxy Resin, Glass Fiber- Reinforced";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended; weight gain ";"10";"70 – 90";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"40";"Epoxy Resin, Glass Fiber- Reinforced";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"2";"questionable";"10";"90 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"41";"Epoxy Resin, Glass Fiber- Reinforced";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended";"10 – 20";"80 – 90";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
