sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Furan Resins";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Furan Laminates";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"20";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Furan Laminates";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"1";"recommended";"100";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Furan Laminates";"air";"";"";"";"";"gases";"1";"recommended";"100";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Furan Laminates";"ethyl alcohol";"ethanol";"";"64-17-5";"C2H6O";"alcohols";"1";"recommended";"100";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Furan Laminates";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"2";"questionable; flex. str. loss";"10";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Furan Laminates";"methyl isobutyl ketone";"";"";"";"";"ketones";"1";"recommended";"100";"175 – 200";"<12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Furan Laminates";"nitric acid";"";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended; 77% flexural strength retained";"5";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Furan Laminates";"perchloroethylene";"tetrachloroethene";"";"127-18-4";"C2Cl4";"halogenated aliphatics";"2";"questionable";"100";"175 – 200";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Furan Laminates";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"2";"questionable";"10";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Furan Laminates";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"70 – 80";"[>12]";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Furan Laminates";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"175 – 200";"[";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Furan Laminates";"trichloroethane";"";"";"";"";"halogenated aliphatics";"1";"recommended";"100";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Furan Laminates";"water";"";"high purity";"7732-18-5";"H2O";"water & wastewater";"2";"questionable";"100";"175 – 200";"<12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Furan Resins";"chlorine";"";"";"7782-50-5";"Cl2";"";"1";"recommended";"10";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"15";"Furan Resins";"chlorine";"";"";"7782-50-5";"Cl2";"";"1";"recommended";"25";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"16";"Furan Resins";"chlorine";"";"";"7782-50-5";"Cl2";"";"1";"recommended";"50";"68";"<6";"chlorine water, saturated with water";"5";"";"";"";"";"";"";"";"";"";"";""
"17";"Furan Resins";"monochloroacetic acid";"";"";"";"";"organic (weak) acids";"1";"recommended";"100";"0 – 302";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"18";"Furan Resins";"trichloroacetic acid";"";"";"1976-03-09";"C2HCl3O2";"organic (weak) acids";"1";"recommended";"100";"0 – 302";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
