sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Styrene Acrylonitrile Copolymer (SAN)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Styrene Acrylonitrile Copolymer (SAN)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended; crude 95% recommended to 40°C (104°F)";"20";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Styrene Acrylonitrile Copolymer (SAN)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"50";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Styrene Acrylonitrile Copolymer (SAN)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"50";"80 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Styrene Acrylonitrile Copolymer (SAN)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Styrene Acrylonitrile Copolymer (SAN)";"acetophenone";"methyl phenyl ketone";"";"98-86-2";"C8H8O";"ketones";"3";"not recommended; may dissolve";"any";"0 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Styrene Acrylonitrile Copolymer (SAN)";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"3";"not recommended";"96";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Styrene Acrylonitrile Copolymer (SAN)";"almond oil";"";"";"";"";"essential oils";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Styrene Acrylonitrile Copolymer (SAN)";"aluminum chloride";"aluminum trichloride";"saturated";"7446-70-0";"AlCl3";"salts";"1";"recommended";"70";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Styrene Acrylonitrile Copolymer (SAN)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"2";"questionable";">70";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Styrene Acrylonitrile Copolymer (SAN)";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";"10";"60 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Styrene Acrylonitrile Copolymer (SAN)";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Styrene Acrylonitrile Copolymer (SAN)";"aluminum sulfate";"alunogenite";"saturated";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";"90";"60 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Styrene Acrylonitrile Copolymer (SAN)";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";">90";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Styrene Acrylonitrile Copolymer (SAN)";"aminoacetic acid";"glycine";"";"56-40-6";"C2H5NO2";"organic (weak) acids";"2";"questionable";"10";"70 – 100";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Styrene Acrylonitrile Copolymer (SAN)";"aminoacetic acid";"glycine";"crystal, powders, solids";"56-40-6";"C2H5NO2";"organic (weak) acids";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Styrene Acrylonitrile Copolymer (SAN)";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended";"10";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Styrene Acrylonitrile Copolymer (SAN)";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended";"30";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Styrene Acrylonitrile Copolymer (SAN)";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"3";"not recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Styrene Acrylonitrile Copolymer (SAN)";"amyl alcohol";"1-pentanol";"";"71-41-0";"C5H12O";"alcohols";"1";"recommended";"100";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Styrene Acrylonitrile Copolymer (SAN)";"amyl alcohol";"1-pentanol";"";"71-41-0";"C5H12O";"alcohols";"3";"not recommended";"100";"80 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Styrene Acrylonitrile Copolymer (SAN)";"amyl phthalate";"";"";"";"";"esters";"3";"not recommended";"100";"60 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Styrene Acrylonitrile Copolymer (SAN)";"anise oil";"";"";"";"";"ketones";"3";"not recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Styrene Acrylonitrile Copolymer (SAN)";"aspirin";"acetylsalicylic acid; 2-(Acetyloxy)benzoic acid";"crystal, powders, solids";"";"";"pharmaceuticals";"1";"recommended";"100";"70 – 100";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
