sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aluminum acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"aluminum acetate";"salts";"<95";"0 – 225";"<2";"158,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"aluminum acetate";"salts";"<95";"0 – 212";"<2";"158,208,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum acetate";"salts";"<95";"0 – 225";"<2";"158,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"aluminum acetate";"salts";"<95";"0 – 225";"<2";"158,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"aluminum acetate";"salts";"5 – 15";"25 – 75";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"aluminum acetate";"salts";"5 – 25";"175 – 225";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"aluminum acetate";"salts";"1 – 90";"212";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"aluminum acetate";"salts";"5 – 25";"75 – 210";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"aluminum acetate";"salts";"5 – 95";"25 – 75";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum acetate";"salts";"1 – 90";"212";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum acetate";"salts";"5 – 95";"25 – 125";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Brass (>15Zn)";"aluminum acetate";"salts";"5 – 15";"25 – 75";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cast Iron, Gray/ Ductile";"aluminum acetate";"salts";"25 – 35";"25 – 75";">50";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper/ Bronze/ Low Brass";"aluminum acetate";"salts";"5 – 15";"25 – 225";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (12Cr)";"aluminum acetate";"salts";"5 – 25";"25 – 225";"<20";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (17Cr)";"aluminum acetate";"salts";"5 – 25";"25 – 225";"<20";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Duplex Stainless Steel (25-6-3)";"aluminum acetate";"salts";"<95";"0 – 212";"<2";"158,208,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Gold/ Platinum";"aluminum acetate";"salts";"5 – 25";"25 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Lead";"aluminum acetate";"salts";"5 – 25";"25 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"aluminum acetate";"salts";"5 – 95";"25 – 125";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"aluminum acetate";"salts";"5 – 95";"125 – 225";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum acetate";"salts";"5 – 95";"25 – 125";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum acetate";"salts";"5 – 95";"125 – 225";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"aluminum acetate";"salts";"5 – 95";"25 – 125";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"aluminum acetate";"salts";"5 – 95";"125 – 225";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"aluminum acetate";"salts";"5 – 95";"25 – 125";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"aluminum acetate";"salts";"5 – 95";"125 – 225";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"aluminum acetate";"salts";"5 – 95";"25 – 125";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"aluminum acetate";"salts";"5 – 95";"125 – 225";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
