sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"potassium acetate";"127-08-2";"C2H3KO2";"salts";"1 – 80";"25 – 225";"<2";"189,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"potassium acetate";"127-08-2";"C2H3KO2";"salts";"1 – 75";"212";"<2";"189";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium acetate";"127-08-2";"C2H3KO2";"salts";"1 – 80";"25 – 225";"<2";"189,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"potassium acetate";"127-08-2";"C2H3KO2";"salts";"1 – 80";"25 – 225";"<2";"189,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"potassium acetate";"127-08-2";"C2H3KO2";"salts";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"potassium acetate";"127-08-2";"C2H3KO2";"salts";"5 – 15";"75 – 175";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium acetate";"127-08-2";"C2H3KO2";"salts";"5 – 80";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium acetate";"127-08-2";"C2H3KO2";"salts";"5 – 80";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"potassium acetate";"127-08-2";"C2H3KO2";"salts";"5 – 25";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"potassium acetate";"127-08-2";"C2H3KO2";"salts";"5 – 80";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
