sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chloroacetyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"hazardous!";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cr Stainless Steel (12Cr)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cr Stainless Steel (17Cr)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Gold/ Platinum";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"5 – 75";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Gold/ Platinum";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Lead";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel (200)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Ni-Mo Alloy (Ni-30Mo; B-2)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Silicon Cast Iron (14Si)";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"52 – 102";"<20";"32,210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Silver";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Steels, Carbon/ Low Alloy";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Tantalum";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"5 – 75";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Tantalum";"chloroacetyl chloride";"1979-04-09";"C2H2Cl2O";"acid halides";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
