sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Heptachlor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"heptachlor";"76-44-8";"C10H5Cl7";"agricultural chemicals";"100";"203 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
