sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hexaethyl tetraphosphate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Brass (>15Zn)";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cast Iron, Gray/ Ductile";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Copper/ Bronze/ Low Brass";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Gold/ Platinum";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";">85";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Gold/ Platinum";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Nickel Cast Iron (15-35Ni)";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Silicon Cast Iron (14Si)";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";"100";"52 – 102";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Steels, Carbon/ Low Alloy";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";"85 – 95";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Steels, Carbon/ Low Alloy";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Tantalum";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";">85";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Tantalum";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Titanium, Unalloyed";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Zirconium";"hexaethyl tetraphosphate";"ethyl tetraphosphate";"757-58-4";"C12H30O13P4";"agricultural chemicals";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
