sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"hazardous!";"100";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"possible hazard";"100";"175 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper-Nickel";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (12Cr)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
