sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorohydrin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"chlorohydrin";"alcohols";"";"100";"0 – 262";"<2";"32,169,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"chlorohydrin";"alcohols";"";"100";"262 – 425";"<20";"32,169,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chlorohydrin";"alcohols";"";"100";"25 – 425";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"chlorohydrin";"alcohols";"";"100";"25 – 425";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"chlorohydrin";"alcohols";"hazardous!";">85";"25 – 75";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"chlorohydrin";"alcohols";"possible hazard";"100";"25 – 175";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"chlorohydrin";"alcohols";"";"100";"25 – 212";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"chlorohydrin";"alcohols";"";"100";"215 – 425";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chlorohydrin";"alcohols";"";"100";"25 – 212";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chlorohydrin";"alcohols";"";"100";"215 – 425";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"chlorohydrin";"alcohols";"";"100";"25 – 425";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"chlorohydrin";"alcohols";"";"100";"25 – 425";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"chlorohydrin";"alcohols";"";"100";"25 – 425";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper-Nickel";"chlorohydrin";"alcohols";"";"100";"25 – 425";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (17Cr)";"chlorohydrin";"alcohols";"";"100";"25 – 75";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Gold/ Platinum";"chlorohydrin";"alcohols";"";"100";"25 – 425";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"chlorohydrin";"alcohols";"";">85";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"chlorohydrin";"alcohols";"";"100";"25 – 425";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
