sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Diacetone alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 175";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (12Cr)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (17Cr)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Gold/ Platinum";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel (200)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel Cast Iron (15-35Ni)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nickel-Copper (400)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Ni-Cr-Fe Alloy (600/ 690)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Ni-Mo Alloy (Ni-30Mo; B-2)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Silicon Cast Iron (14Si)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Silver";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Steels, Carbon/ Low Alloy";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 175";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Superferritic Stainless Steel (26-1)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Tantalum";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Titanium, Unalloyed";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
