sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Diethylene glycol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";">85";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";">85";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"85 – 95";"25 – 325";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";">85";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";">85";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"85 – 95";"25 – 325";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"85 – 95";"25 – 325";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper-Nickel";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"85 – 95";"25 – 325";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper-Nickel";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (12Cr)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";">85";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (17Cr)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";">85";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Gold/ Platinum";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"75 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel (200)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"85 – 95";"25 – 325";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel Cast Iron (15-35Ni)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel-Copper (400)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"85 – 95";"25 – 325";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel-Copper (400)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Mo Alloy (Ni-30Mo; B-2)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";">85";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silicon Cast Iron (14Si)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"52 – 327";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silver";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Steels, Carbon/ Low Alloy";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"55 – 65";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Steels, Carbon/ Low Alloy";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"85 – 95";"25 – 325";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Steels, Carbon/ Low Alloy";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Superferritic Stainless Steel (26-1)";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";">85";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Tantalum";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Titanium, Unalloyed";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Zirconium";"diethylene glycol";"diglycol";"111-46-6";"C4H10O3";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
