sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Diisobutylcarbinol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper-Nickel";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (12Cr)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (17Cr)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Gold/ Platinum";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel (200)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel Cast Iron (15-35Ni)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nickel-Copper (400)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Ni-Cr-Fe Alloy (600/ 690)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Ni-Mo Alloy (Ni-30Mo; B-2)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Silicon Cast Iron (14Si)";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Silver";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Steels, Carbon/ Low Alloy";"diisobutylcarbinol";"2,6-dimethyl-4-heptanol";"108-82-7";"C9H20O";"alcohols";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
