sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Glycidol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Aluminum Alloy (3003/ 5154)";"glycidol";"oxiranemethanol";"61915-27-3 [556-52-5]";"C3H6O2";"alcohols";"hazardous!";"100";"25 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"glycidol";"oxiranemethanol";"61915-27-3 [556-52-5]";"C3H6O2";"alcohols";"";"100";"25 – 225";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"glycidol";"oxiranemethanol";"61915-27-3 [556-52-5]";"C3H6O2";"alcohols";"";"100";"25 – 225";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cast Iron, Gray/ Ductile";"glycidol";"oxiranemethanol";"61915-27-3 [556-52-5]";"C3H6O2";"alcohols";"";"100";"25 – 225";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cr Stainless Steel (12Cr)";"glycidol";"oxiranemethanol";"61915-27-3 [556-52-5]";"C3H6O2";"alcohols";"";"100";"25 – 225";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Cr Stainless Steel (17Cr)";"glycidol";"oxiranemethanol";"61915-27-3 [556-52-5]";"C3H6O2";"alcohols";"";"100";"25 – 225";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Gold/ Platinum";"glycidol";"oxiranemethanol";"61915-27-3 [556-52-5]";"C3H6O2";"alcohols";"";"100";"25 – 225";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Nickel Cast Iron (15-35Ni)";"glycidol";"oxiranemethanol";"61915-27-3 [556-52-5]";"C3H6O2";"alcohols";"";"100";"25 – 225";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Silicon Cast Iron (14Si)";"glycidol";"oxiranemethanol";"61915-27-3 [556-52-5]";"C3H6O2";"alcohols";"";"100";"52 – 237";"<2";"208,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Steels, Carbon/ Low Alloy";"glycidol";"oxiranemethanol";"61915-27-3 [556-52-5]";"C3H6O2";"alcohols";"";"100";"25 – 225";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Superferritic Stainless Steel (26-1)";"glycidol";"oxiranemethanol";"61915-27-3 [556-52-5]";"C3H6O2";"alcohols";"";"100";"25 – 225";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Tantalum";"glycidol";"oxiranemethanol";"61915-27-3 [556-52-5]";"C3H6O2";"alcohols";"";"100";"25 – 225";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
