sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phenethyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"hazardous!";"100";"25 – 175";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"possible hazard";"100";"175 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Lead";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel (200)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel Cast Iron (15-35Ni)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel-Copper (400)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Ni-Cr-Fe Alloy (600/ 690)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Ni-Mo Alloy (Ni-30Mo; B-2)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Silicon Cast Iron (14Si)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Silver";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Steels, Carbon/ Low Alloy";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Superferritic Stainless Steel (26-1)";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Titanium, Unalloyed";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Zirconium";"phenethyl alcohol";"benzeneethanol";"1960-12-08";"C8H10O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
