sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Furfural";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"0 – 324";"<2";"";"54,139,176,209";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"0 – 324";"<2";"";"54,139,176,209";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,176,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"0 – 324";"<2";"";"54,139,176,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"324 – 425";"<20";"";"54,139,176,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,176,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"0 – 324";"<2";"";"54,139,176,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"324 – 425";"<20";"";"54,139,176,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 425";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"0 – 425";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"0 – 425";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 425";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cast Iron, Gray/ Ductile";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 325";"<20";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper/ Bronze/ Low Brass";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper/ Bronze/ Low Brass";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 425";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (12Cr)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"pitting";"100";"25 – 125";"<2";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cr Stainless Steel (12Cr)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"125 – 225";"<20";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cr Stainless Steel (17Cr)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cr Stainless Steel (17Cr)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 225";"<20";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Duplex Stainless Steel (25-6-3)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"0 – 324";"<2";"";"54,139,176,209";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Gold/ Platinum";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Gold/ Platinum";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 325";"<2";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Lead";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"pitting";"100";"25 – 225";"<20";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
