sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Amyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"pitting";"100";"0 – 212";"<2";"32,162,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"0 – 212";"<2";"32,162";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"pitting";"100";"0 – 212";"<2";"32,162,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"pitting";"100";"0 – 212";"<2";"32,162,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"hazardous!";"";"100";"25 – 225";"<2";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"pitting; stress corrosion cracking";"100";"25 – 175";"<2";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"pitting; stress corrosion cracking";"100";"25 – 225";"<2";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 75";"<20";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 75";"<2";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 75";"<2";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 75";"<2";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"pitting";"100";"25 – 75";"<20";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"pitting";"100";"25 – 75";"<20";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Duplex Stainless Steel (25-6-3)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"0 – 212";"<2";"32,162";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 225";"<2";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 75";">50";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 225";"<2";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 225";"<2";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 225";"<2";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 225";"<2";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 225";"<2";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel (200)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 75";"<2";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel (200)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"75 – 275";"<20";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
