sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,173,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"54";"<2";"boiling point";"45,173,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"54";"<2";"boiling point";"45,173,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,173,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"54";"<2";"boiling point";"45,173,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,173,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"54";"<2";"boiling point";"45,173,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"hazardous!";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
