sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 327";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 327";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"hazardous; IGNITES";"100";"52 – 102";">50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 327";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 237";"<2";"no water";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 237";"<2";">80% copper";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 327";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Gold/ Platinum";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 597";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Lead";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 327";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Nickel (200)";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 237";"<20";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Nickel Cast Iron (15-35Ni)";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 102";"<2";"no water";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nickel-Copper (400)";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 237";"<20";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Ni-Cr-Fe Alloy (600/ 690)";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 237";"<20";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Silicon Cast Iron (14Si)";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 327";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Silver";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 597";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Steels, Carbon/ Low Alloy";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Steels, Carbon/ Low Alloy";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"752";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Tantalum";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"";"100";"52 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
