sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Diethylenetriamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"severe corrosion with oxygen ingress";"100";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"severe corrosion with oxygen ingress";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper-Nickel";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"severe corrosion with oxygen ingress";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Gold/ Platinum";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Nickel (200)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"severe corrosion with oxygen ingress";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Nickel Cast Iron (15-35Ni)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nickel-Copper (400)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"severe corrosion with oxygen ingress";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Ni-Cr-Fe Alloy (600/ 690)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Ni-Mo Alloy (Ni-30Mo; B-2)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Silicon Cast Iron (14Si)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Steels, Carbon/ Low Alloy";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Tantalum";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Titanium, Unalloyed";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
