sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hexamethylenetetramine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"25 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"100";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"25 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"25 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"25 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"100";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"25 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
