sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Monoethanolamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"monoethanolamine";"amines";"";"5 – 25";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"monoethanolamine";"amines";"";"5 – 95";"175 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"monoethanolamine";"amines";"";"35 – 45";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"monoethanolamine";"amines";"";"55 – 65";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-4Mo (904L)";"monoethanolamine";"amines";"";"75 – 95";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-25-4Mo (904L)";"monoethanolamine";"amines";"";"85 – 95";"25 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"monoethanolamine";"amines";"";"5 – 25";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"monoethanolamine";"amines";"";">5";"175 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"monoethanolamine";"amines";"";"35 – 45";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"monoethanolamine";"amines";"";"55 – 65";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"monoethanolamine";"amines";"";"75 – 95";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"monoethanolamine";"amines";"";"85 – 95";"225 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"monoethanolamine";"amines";"";">95";"50 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
