sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Triethylenetetramine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cr Stainless Steel (17Cr)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel Cast Iron (15-35Ni)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Ni-Cr-Fe Alloy (600/ 690)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Ni-Mo Alloy (Ni-30Mo; B-2)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Silicon Cast Iron (14Si)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Steels, Carbon/ Low Alloy";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Superferritic Stainless Steel (26-1)";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Titanium, Unalloyed";"triethylenetetramine";"N,N'-bis(2-aminoethyl)-1,2-ethanediamine";"112-24-3";"C6H18N4";"amines";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
