sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Trimethylamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"5 – 45";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"5 – 45";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"5 – 45";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"5 – 45";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"trimethylamine";"methanamine, N,N-dimethyl-";"75-50-3";"C3H9N";"amines";"";"5 – 45";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
