sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Quinine bisulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"quinine bisulfate";"amino salts";">1";"68";"<2";"192,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<2";"192,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<2";"192,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"quinine bisulfate";"amino salts";">1";"68";"<2";"192,215";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"quinine bisulfate";"amino salts";">1";"68";"<2";"192,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<2";"192,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<2";"192,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"quinine bisulfate";"amino salts";">1";"68";"<2";"192,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<2";"192,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<2";"192,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"quinine bisulfate";"amino salts";"1 – 20";"68";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 65";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"quinine bisulfate";"amino salts";"100";"25 – 75";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"quinine bisulfate";"amino salts";"1 – 20";"68";"<2";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"quinine bisulfate";"amino salts";"5 – 15";"70 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Brass (>15Zn)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Brass (>15Zn)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cast Iron, Gray/ Ductile";"quinine bisulfate";"amino salts";"5 – 15";"25 – 75";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper/ Bronze/ Low Brass";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Copper/ Bronze/ Low Brass";"quinine bisulfate";"amino salts";"100";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Copper-Nickel";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Copper-Nickel";"quinine bisulfate";"amino salts";"100";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cr Stainless Steel (12Cr)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 75";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Cr Stainless Steel (12Cr)";"quinine bisulfate";"amino salts";"100";"25 – 75";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Cr Stainless Steel (17Cr)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 75";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cr Stainless Steel (17Cr)";"quinine bisulfate";"amino salts";"100";"25 – 75";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Duplex Stainless Steel (25-6-3)";"quinine bisulfate";"amino salts";">1";"68";"<2";"192,215";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Lead";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Lead";"quinine bisulfate";"amino salts";"100";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"quinine bisulfate";"amino salts";"5 – 15";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"quinine bisulfate";"amino salts";"100";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
