sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Quinine hydrochloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"quinine hydrochloride";"6'methoxycinchonan-9-ol monohydrochloride, (8a,9R)";"130-89-2";"C20H25ClN2O2";"amino salts";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"quinine hydrochloride";"6'methoxycinchonan-9-ol monohydrochloride, (8a,9R)";"130-89-2";"C20H25ClN2O2";"amino salts";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"quinine hydrochloride";"6'methoxycinchonan-9-ol monohydrochloride, (8a,9R)";"130-89-2";"C20H25ClN2O2";"amino salts";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"quinine hydrochloride";"6'methoxycinchonan-9-ol monohydrochloride, (8a,9R)";"130-89-2";"C20H25ClN2O2";"amino salts";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"quinine hydrochloride";"6'methoxycinchonan-9-ol monohydrochloride, (8a,9R)";"130-89-2";"C20H25ClN2O2";"amino salts";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"quinine hydrochloride";"6'methoxycinchonan-9-ol monohydrochloride, (8a,9R)";"130-89-2";"C20H25ClN2O2";"amino salts";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"quinine hydrochloride";"6'methoxycinchonan-9-ol monohydrochloride, (8a,9R)";"130-89-2";"C20H25ClN2O2";"amino salts";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"quinine hydrochloride";"6'methoxycinchonan-9-ol monohydrochloride, (8a,9R)";"130-89-2";"C20H25ClN2O2";"amino salts";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper-Nickel";"quinine hydrochloride";"6'methoxycinchonan-9-ol monohydrochloride, (8a,9R)";"130-89-2";"C20H25ClN2O2";"amino salts";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (12Cr)";"quinine hydrochloride";"6'methoxycinchonan-9-ol monohydrochloride, (8a,9R)";"130-89-2";"C20H25ClN2O2";"amino salts";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (17Cr)";"quinine hydrochloride";"6'methoxycinchonan-9-ol monohydrochloride, (8a,9R)";"130-89-2";"C20H25ClN2O2";"amino salts";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Nickel Cast Iron (15-35Ni)";"quinine hydrochloride";"6'methoxycinchonan-9-ol monohydrochloride, (8a,9R)";"130-89-2";"C20H25ClN2O2";"amino salts";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Steels, Carbon/ Low Alloy";"quinine hydrochloride";"6'methoxycinchonan-9-ol monohydrochloride, (8a,9R)";"130-89-2";"C20H25ClN2O2";"amino salts";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
