sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butyric anhydride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper-Nickel";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (12Cr)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (17Cr)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Gold/ Platinum";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
