sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phthalic anhydride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"375 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"375 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"375 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 475";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 325";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"375 – 425";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"375 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 325";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 325";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"275 – 375";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"375 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper-Nickel";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 325";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 325";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Gold/ Platinum";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"425 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 475";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 475";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 475";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 475";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 475";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel (200)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"375 – 425";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel Cast Iron (15-35Ni)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 325";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel-Copper (400)";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"100";"270 – 375";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
