sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Antimony trichloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"any";"68";"<2";"32,163,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"pitting";"5 – 35";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"85 – 95";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"pitting";"5 – 35";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"85 – 95";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"5 – 15";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"45 – 65";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"100";"25 – 125";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"pitting; stress corrosion cracking";"5 – 25";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"100";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"pitting; stress corrosion cracking";"5 – 35";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Brass (>15Zn)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"5 – 35";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Brass (>15Zn)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";">85";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
