sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phosphorous oxychloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phosphorous oxychloride";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phosphorous oxychloride";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"phosphorous oxychloride";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"phosphorous oxychloride";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"phosphorous oxychloride";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"phosphorous oxychloride";"100";"25 – 175";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"phosphorous oxychloride";"100";"175 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"phosphorous oxychloride";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"phosphorous oxychloride";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"phosphorous oxychloride";"100";"275 – 325";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"phosphorous oxychloride";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"phosphorous oxychloride";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"phosphorous oxychloride";"100";"275 – 325";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"phosphorous oxychloride";">85";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cast Iron, Gray/ Ductile";"phosphorous oxychloride";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cast Iron, Gray/ Ductile";"phosphorous oxychloride";"100";"25 – 75";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper/ Bronze/ Low Brass";"phosphorous oxychloride";">85";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (12Cr)";"phosphorous oxychloride";"100";"25 – 75";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cr Stainless Steel (17Cr)";"phosphorous oxychloride";"100";"25 – 75";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Gold/ Platinum";"phosphorous oxychloride";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Lead";"phosphorous oxychloride";"85 – 95";"25 – 75";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Lead";"phosphorous oxychloride";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Lead";"phosphorous oxychloride";"100";"225 – 375";"20 – 50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"phosphorous oxychloride";">85";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"phosphorous oxychloride";">85";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"phosphorous oxychloride";">85";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"phosphorous oxychloride";">85";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"phosphorous oxychloride";">85";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel (200)";"phosphorous oxychloride";"85 – 95";"25 – 325";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel (200)";"phosphorous oxychloride";"100";"25 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel Cast Iron (15-35Ni)";"phosphorous oxychloride";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
