sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzotrifluoride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper-Nickel";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (12Cr)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (17Cr)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Gold/ Platinum";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel (200)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel Cast Iron (15-35Ni)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel-Copper (400)";"benzotrifluoride";"(trifluoromethyl)benzene";"1998-08-08";"C7H5F3";"aromatics";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
