sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dibenzyl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper-Nickel";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (12Cr)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (17Cr)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Gold/ Platinum";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel (200)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel Cast Iron (15-35Ni)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nickel Cast Iron (15-35Ni)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"275 – 325";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel-Copper (400)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Ni-Cr-Fe Alloy (600/ 690)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Ni-Mo Alloy (Ni-30Mo; B-2)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Silicon Cast Iron (14Si)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 237";"<2";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Silver";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Steels, Carbon/ Low Alloy";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Superferritic Stainless Steel (26-1)";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Tantalum";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Titanium, Unalloyed";"dibenzyl";"1,2-diphenylethane";"103-29-7";"C14H14";"aromatics";"100";"140 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
