sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Naphthalene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"375 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"375 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
