sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nitrobenzene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"375 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"375 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"375 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel Cast Iron (15-35Ni)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel-Copper (400)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Cr-Fe Alloy (600/ 690)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Mo Alloy (Ni-30Mo; B-2)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silicon Cast Iron (14Si)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"52 – 439";"<2";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silver";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Steels, Carbon/ Low Alloy";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Superferritic Stainless Steel (26-1)";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Tantalum";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Titanium, Unalloyed";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Zirconium";"nitrobenzene";"98-95-3";"C6H5NO2";"aromatics";"100";"42 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
