sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium bicarbonate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"<95";"0 – 175";"<2";"159,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 95";"175 – 225";"<20";"159,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"<95";"0 – 68";"<2";"159,217,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"<95";"0 – 175";"<2";"159,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"15 – 95";"175 – 225";"<20";"159,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"<95";"0 – 175";"<2";"159,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"15 – 95";"175 – 225";"<20";"159,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 15";"25 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"pitting";"5 – 95";"25 – 175";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 95";"175 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"pitting";"5 – 95";"25 – 175";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 95";"175 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Brass (>15Zn)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"severe corrosion with oxygen ingress";"";"5 – 15";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cast Iron, Gray/ Ductile";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 15";"25 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"severe corrosion with oxygen ingress";"";"5 – 15";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper-Nickel";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"severe corrosion with oxygen ingress";"";"5 – 15";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cr Stainless Steel (12Cr)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 55";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (17Cr)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 55";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Duplex Stainless Steel (25-6-3)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"<95";"0 – 68";"<2";"159,217,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Gold/ Platinum";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 95";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Lead";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 15";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel (200)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"severe corrosion with oxygen ingress";"";"5 – 15";"175 – 225";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel Cast Iron (15-35Ni)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 15";"25 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
