sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Magnesium carbonate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"212";"<2";"";"183";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"212";"<2";"";"183";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"183,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"183,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 102";"<2";"no Cu, Cl ions";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 102";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Duplex Stainless Steel (25-6-3)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"212";"<2";"";"183";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Lead";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel (200)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel Cast Iron (15-35Ni)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 102";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel-Copper (400)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Ni-Cr-Fe Alloy (600/ 690)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Ni-Mo Alloy (Ni-30Mo; B-2)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Silicon Cast Iron (14Si)";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Silver";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Steels, Carbon/ Low Alloy";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 102";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Titanium, Unalloyed";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<20";"";"183,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Zirconium";"magnesium carbonate";"546-93-0";"CMgO3";"salts";"1";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
