sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Uranyl carbonate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"uranyl carbonate";"salts";"radioactive!";"100";"425 – 475";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"uranyl carbonate";"salts";"radioactive!";"100";"425 – 475";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"uranyl carbonate";"salts";"radioactive!";"100";"425 – 475";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"uranyl carbonate";"salts";"radioactive!";"100";"425 – 475";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"uranyl carbonate";"salts";"radioactive!";"100";"425 – 475";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Cr Stainless Steel (12Cr)";"uranyl carbonate";"salts";"radioactive!";"100";"425 – 475";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cr Stainless Steel (17Cr)";"uranyl carbonate";"salts";"radioactive!";"100";"425 – 475";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Gold/ Platinum";"uranyl carbonate";"salts";"radioactive!";"100";"425 – 475";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Nickel (200)";"uranyl carbonate";"salts";"radioactive!";"100";"425 – 475";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Ni-Cr-Fe Alloy (600/ 690)";"uranyl carbonate";"salts";"radioactive!";"100";"425 – 475";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Superferritic Stainless Steel (26-1)";"uranyl carbonate";"salts";"radioactive!";"100";"425 – 475";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Titanium, Unalloyed";"uranyl carbonate";"salts";"radioactive!";"100";"425 – 475";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Zirconium";"uranyl carbonate";"salts";"radioactive!";"100";"425 – 475";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
