sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium perchlorate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"10";"25 – 212";"<2";"32,161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"20";"0 – 175";"<2";"32,161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"20";"175 – 225";"<20";"32,161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"10";"68 – 212";"<2";"32,161";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"20";"0 – 86";"<2";"32,161";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"10";"25 – 212";"<2";"32,161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"20";"0 – 175";"<2";"32,161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"20";"175 – 225";"<20";"32,161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"10";"25 – 212";"<2";"32,161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"20";"0 – 175";"<2";"32,161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 30-44-5-3W (G-30)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"20";"175 – 225";"<20";"32,161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 15";"25 – 75";"<20";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Aluminum Alloy (3003/ 5154)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 15";"175 – 225";"<2";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 15";"25 – 75";"<2";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 15";"75 – 225";"<20";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 20";"25 – 175";"<2";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 20";"175 – 225";"<20";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Brass (>15Zn)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 20";"25 – 75";">50";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Copper/ Bronze/ Low Brass";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 20";"25 – 75";">50";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper-Nickel";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 20";"25 – 75";">50";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cr Stainless Steel (12Cr)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 15";"25 – 75";"<20";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cr Stainless Steel (12Cr)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 15";"175 – 225";">50";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Cr Stainless Steel (17Cr)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 15";"25 – 75";"<20";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cr Stainless Steel (17Cr)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 15";"175 – 225";">50";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Duplex Stainless Steel (25-6-3)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"10";"68 – 212";"<2";"32,161";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Duplex Stainless Steel (25-6-3)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"20";"0 – 86";"<2";"32,161";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Gold/ Platinum";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 20";"75 – 275";"<2";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 20";"25 – 175";"<20";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 20";"25 – 175";"<20";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 20";"25 – 175";"<20";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 20";"25 – 175";"<20";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 20";"25 – 175";"<20";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel Cast Iron (15-35Ni)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 15";"25 – 225";"<20";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Ni-Cr-Fe Alloy (600/ 690)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 15";"25 – 75";"<2";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Ni-Cr-Fe Alloy (600/ 690)";"ammonium perchlorate";"7790-98-9";"ClH4NO4";"salts";"5 – 15";"75 – 225";"<20";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
