sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cupric chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"1";"0 – 140";"20 – 50";"41,171,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5";"0 – 140";"20 – 50";"41,171,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"8";"0 – 68";"<2";"41,171,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"8";"68 – 275";">50";"41,171,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-4Mo (904L)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"pitting; stress corrosion cracking";"10 – 15";"25 – 75";">50";"41,171,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-25-4Mo (904L)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"10 – 15";"125 – 175";">50";"41,171,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"1";"0 – 140";"<2";"41,171,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"1";"0 – 140";"<2";"41,171,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5 – 35";"25 – 75";">50";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 75";">50";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
