sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ferric chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"pitting";"<55";"25 – 225";"20 – 50";"47,116,181,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"15 – 25";"25 – 125";"<20";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"15 – 25";"125 – 175";"20 – 50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"pitting";"15 – 35";"25 – 75";"<20";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"35 – 45";"25 – 75";"20 – 50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"15 – 25";"25 – 125";"<20";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"15 – 25";"125 – 175";"20 – 50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"pitting";"15 – 35";"25 – 75";"<20";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"35 – 45";"25 – 75";"20 – 50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 75";"25 – 75";">50";"47,116,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"pitting; stress corrosion cracking";"5 – 75";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 15";"25 – 225";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"pitting; stress corrosion cracking";"5 – 75";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 75";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cast Iron, Gray/ Ductile";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 75";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper/ Bronze/ Low Brass";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 75";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper-Nickel";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 75";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (12Cr)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"pitting";"5 – 45";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cr Stainless Steel (17Cr)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 45";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Lead";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 15";"25 – 75";"20 – 50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Lead";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"15 – 35";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Lead";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"85 – 95";"25 – 75";"<2";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 15";"175 – 225";"20 – 50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 25";"25 – 75";"<2";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"35 – 45";"25 – 75";"<20";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 15";"175 – 225";"20 – 50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 25";"25 – 75";"<2";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"35 – 45";"25 – 75";"<20";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 15";"175 – 225";"20 – 50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 25";"25 – 75";"<2";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"35 – 45";"25 – 75";"<20";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 15";"175 – 225";"20 – 50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 25";"25 – 75";"<2";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"35 – 45";"25 – 75";"<20";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 15";"175 – 225";"20 – 50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 25";"25 – 75";"<2";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"35 – 45";"25 – 75";"<20";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Nickel (200)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"15 – 85";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Nickel Cast Iron (15-35Ni)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 75";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Nickel-Copper (400)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 75";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Ni-Cr-Fe Alloy (600/ 690)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 75";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 15";"125 – 175";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 25";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"35 – 55";"25 – 75";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"45 – 55";"25 – 225";">50";"47,116,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Niobium (Columbium)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"<50";"0 – 212";"<2";"47,116,210,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Silicon Cast Iron (14Si)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 15";"52 – 102";"20 – 50";"47,116,210,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Silicon Cast Iron (14Si)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"5 – 15";"102 – 147";">50";"47,116,210,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Silicon Cast Iron (14Si)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"15 – 35";"52 – 102";">50";"47,116,210,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Silicon Cast Iron (14Si)";"ferric chloride";"iron chloride";"7705-08-0";"Cl3Fe";"salts";"";"35 – 65";"52 – 102";"<2";"47,116,210,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
