sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ferrous chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"10";"68";"<2";"49,181,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"15 – 40";"25 – 75";"<20";"49,181,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 75";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 75";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 15";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"25 – 35";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"pitting; stress corrosion cracking";"5 – 25";"25 – 75";">50";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"25 – 35";"175 – 225";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"pitting; stress corrosion cracking";"5 – 25";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"25 – 35";"25 – 75";"<20";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"25 – 35";"125 – 225";"<20";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Brass (>15Zn)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 35";"25 – 75";"<20";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cast Iron, Gray/ Ductile";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 15";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cast Iron, Gray/ Ductile";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"25 – 35";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"pitting";"5 – 35";"25 – 75";"<20";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (12Cr)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"pitting";"5 – 15";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cr Stainless Steel (12Cr)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"25 – 35";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (12Cr)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"100";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cr Stainless Steel (17Cr)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"pitting";"15 – 35";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cr Stainless Steel (17Cr)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"100";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Gold/ Platinum";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 225";"<2";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Lead";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 15";"25 – 75";"20 – 50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Lead";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"25 – 35";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 225";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 225";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 225";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 225";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 40";"25 – 225";"<20";"49,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel (200)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 15";"25 – 75";"20 – 50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel Cast Iron (15-35Ni)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 15";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel Cast Iron (15-35Ni)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"25 – 35";"25 – 75";">50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel-Copper (400)";"ferrous chloride";"iron chloride";"7758-94-3";"Cl2Fe";"salts";"";"5 – 15";"25 – 75";"20 – 50";"49,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
