sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Zinc chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"pitting; stress corrosion cracking";"5 – 25";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"15 – 25";"175 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"25 – 80";"125 – 175";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 80";"25 – 125";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"15 – 25";"175 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"15 – 80";"125 – 175";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"25 – 80";"175 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 80";"25 – 125";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"15 – 25";"175 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"15 – 80";"125 – 175";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 30-44-5-3W (G-30)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"25 – 80";"175 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 15";"25 – 125";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Aluminum Alloy (3003/ 5154)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 15";"175 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Aluminum Alloy (3003/ 5154)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 15";"225 – 275";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Aluminum Alloy (3003/ 5154)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"55 – 80";"175 – 225";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"pitting; stress corrosion cracking";"5 – 35";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"15 – 25";"175 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"25 – 35";"25 – 125";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"25 – 80";"125 – 175";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"pitting; stress corrosion cracking";"5 – 35";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"15 – 25";"175 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"25 – 35";"25 – 175";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"25 – 80";"125 – 175";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Brass (>15Zn)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 80";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Cast Iron, Gray/ Ductile";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"25 – 35";"75 – 125";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Cast Iron, Gray/ Ductile";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"45 – 55";"75 – 125";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cast Iron, Gray/ Ductile";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"65 – 75";"25 – 125";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Cast Iron, Gray/ Ductile";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"100";"25 – 425";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Copper/ Bronze/ Low Brass";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 35";"25 – 125";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Copper/ Bronze/ Low Brass";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 45";"125 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Copper/ Bronze/ Low Brass";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"35 – 80";"25 – 175";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Copper/ Bronze/ Low Brass";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"45 – 80";"175 – 225";"20 – 50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Copper/ Bronze/ Low Brass";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"100";"25 – 125";"20 – 50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Copper-Nickel";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 55";"25 – 125";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
