sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium hypochlorite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"potassium hypochlorite";"salts";"";"<2";"68";"<2";"191,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"potassium hypochlorite";"salts";"";"100";"25 – 75";"<20";"191,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium hypochlorite";"salts";"";"100";"25 – 75";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"potassium hypochlorite";"salts";"";"100";"25 – 75";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"potassium hypochlorite";"salts";"";"5 – 35";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium hypochlorite";"salts";"pitting";"5 – 15";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium hypochlorite";"salts";"";"100";"75 – 125";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium hypochlorite";"salts";"pitting";"5 – 15";"25 – 75";"20 – 50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium hypochlorite";"salts";"";"5 – 15";"175 – 225";"20 – 50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium hypochlorite";"salts";"";"35 – 45";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium hypochlorite";"salts";"";"100";"25 – 75";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"potassium hypochlorite";"salts";"";"5 – 15";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"potassium hypochlorite";"salts";"";"5 – 25";"25 – 75";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper-Nickel";"potassium hypochlorite";"salts";"";"5 – 15";"25 – 75";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (12Cr)";"potassium hypochlorite";"salts";"";"5 – 15";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (17Cr)";"potassium hypochlorite";"salts";"";"5 – 15";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"potassium hypochlorite";"salts";"";"5 – 15";"25 – 75";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"potassium hypochlorite";"salts";"";"5 – 55";"25 – 225";"<2";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"potassium hypochlorite";"salts";"";">55";"25 – 225";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"potassium hypochlorite";"salts";"";"5 – 55";"25 – 225";"<2";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"potassium hypochlorite";"salts";"";">55";"25 – 225";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"potassium hypochlorite";"salts";"";"5 – 55";"25 – 225";"<2";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"potassium hypochlorite";"salts";"";">55";"25 – 225";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"potassium hypochlorite";"salts";"";"5 – 55";"25 – 225";"<2";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"potassium hypochlorite";"salts";"";">55";"25 – 225";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"potassium hypochlorite";"salts";"";"5 – 55";"25 – 225";"<2";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"potassium hypochlorite";"salts";"";">55";"25 – 225";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel (200)";"potassium hypochlorite";"salts";"";"5 – 15";"25 – 75";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel Cast Iron (15-35Ni)";"potassium hypochlorite";"salts";"";"5 – 15";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel-Copper (400)";"potassium hypochlorite";"salts";"";"5 – 15";"25 – 75";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Ni-Cr-Fe Alloy (600/ 690)";"potassium hypochlorite";"salts";"";"5 – 15";"25 – 75";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Silicon Cast Iron (14Si)";"potassium hypochlorite";"salts";"";"5 – 25";"52 – 237";"<2";"211,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Silicon Cast Iron (14Si)";"potassium hypochlorite";"salts";"";"100";"52 – 102";"<2";"211,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Silver";"potassium hypochlorite";"salts";"";"5 – 15";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Silver";"potassium hypochlorite";"salts";"";"25 – 35";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Steels, Carbon/ Low Alloy";"potassium hypochlorite";"salts";"";"5 – 15";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Steels, Carbon/ Low Alloy";"potassium hypochlorite";"salts";"";"100";"25 – 75";"<2";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Superferritic Stainless Steel (26-1)";"potassium hypochlorite";"salts";"";"100";"25 – 75";"<20";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Titanium, Unalloyed";"potassium hypochlorite";"salts";"";"<2";"68";"<2";"191,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Titanium, Unalloyed";"potassium hypochlorite";"salts";"";"5 – 45";"25 – 225";"<2";"191,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
