sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorotrifluoroethylene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel Cast Iron (15-35Ni)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel-Copper (400)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Cr-Fe Alloy (600/ 690)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Mo Alloy (Ni-30Mo; B-2)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silver";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Steels, Carbon/ Low Alloy";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Superferritic Stainless Steel (26-1)";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Tantalum";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Titanium, Unalloyed";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 125";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Zirconium";"chlorotrifluoroethylene";"chlorotrifluoroethene";"79-38-9";"C2ClF3";"chlorofluorocarbons";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
