sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium dichromate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<2";"189,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"25";"221";"<2";"189,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"25";"221";"<2";"189";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<2";"189,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"25";"221";"<2";"189,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<2";"189,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"25";"221";"<2";"189,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 175";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"pitting";"5 – 10";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"225 – 275";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Brass (>15Zn)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cast Iron, Gray/ Ductile";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 275";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
