sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium cyanide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"<40";"0 – 239";"<2";"190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"<40";"0 – 239";"<2";"190";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"<40";"0 – 239";"<2";"190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"<40";"0 – 239";"<2";"190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 40";"25 – 75";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 40";"75 – 125";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"1 – 40";"230";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 40";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"1 – 40";"230";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 40";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"potassium cyanide";"151-50-8";"CKN";"salts";"pitting";"5 – 40";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"potassium cyanide";"151-50-8";"CKN";"salts";"pitting";"5 – 40";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper-Nickel";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (12Cr)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 35";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (17Cr)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 35";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
