sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Iodine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"iodine";"";"7553-56-2";"I2";"1";"68";"<2";"66,129,180,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"iodine";"wet";"7553-56-2";"I2";"100";"68";"20 – 50";"66,129,180,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"iodine";"";"7553-56-2";"I2";"100";"275 – 325";">50";"66,129,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cast Iron, Gray/ Ductile";"iodine";"";"7553-56-2";"I2";"100";"275 – 325";">50";"66,129,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Gold/ Platinum";"iodine";"";"7553-56-2";"I2";"100";"237 – 475";"<2";"66,129,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"iodine";"";"7553-56-2";"I2";"100";"237 – 475";"<2";"66,129,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"iodine";"";"7553-56-2";"I2";"100";"237 – 475";"<2";"66,129,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"iodine";"";"7553-56-2";"I2";"100";"237 – 475";"<2";"66,129,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"iodine";"";"7553-56-2";"I2";"100";"237 – 475";"<2";"66,129,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"iodine";"";"7553-56-2";"I2";"100";"237 – 475";"<2";"66,129,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Ni-Mo Alloy (Ni-30Mo; B-2)";"iodine";"";"7553-56-2";"I2";"100";"237 – 475";"<2";"66,129,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Silicon Cast Iron (14Si)";"iodine";"vapor";"7553-56-2";"I2";"100";"277 – 372";">50";"66,129,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Steels, Carbon/ Low Alloy";"iodine";"";"7553-56-2";"I2";"100";"237 – 325";">50";"66,129,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Titanium, Unalloyed";"iodine";"";"7553-56-2";"I2";"1";"68";"<2";"66,129,180,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Titanium, Unalloyed";"iodine";"wet";"7553-56-2";"I2";"100";"68";"<2";"66,129,180,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
