sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Mercury";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 752";"<2";"184,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"mercury";"7439-97-6";"Hg";"";"100";"68 – 752";"<2";"184";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 752";"<2";"184,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 752";"<2";"184,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"mercury";"7439-97-6";"Hg";"stress corrosion cracking";"100";"25 – 475";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"mercury";"7439-97-6";"Hg";"stress corrosion cracking";"100";"25 – 475";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"mercury";"7439-97-6";"Hg";"stress corrosion cracking";"100";"25 – 475";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Duplex Stainless Steel (25-6-3)";"mercury";"7439-97-6";"Hg";"";"100";"68 – 752";"<2";"184";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"mercury";"7439-97-6";"Hg";"";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"mercury";"7439-97-6";"Hg";"";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel (200)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel Cast Iron (15-35Ni)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel-Copper (400)";"mercury";"7439-97-6";"Hg";"stress corrosion cracking";"100";"25 – 425";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Ni-Cr-Fe Alloy (600/ 690)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Ni-Cr-Fe Alloy (600/ 690)";"mercury";"7439-97-6";"Hg";"";"100";"325 – 375";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Ni-Mo Alloy (Ni-30Mo; B-2)";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Silicon Cast Iron (14Si)";"mercury";"7439-97-6";"Hg";"";"100";"52 – 102";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Silver";"mercury";"7439-97-6";"Hg";"";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Steels, Carbon/ Low Alloy";"mercury";"7439-97-6";"Hg";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
