sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Amyl acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 325";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 325";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 325";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 175";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"175 – 225";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"pitting";"100";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 325";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"crevice attack";"100";"25 – 75";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 125";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"125 – 425";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 325";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper-Nickel";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 175";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (12Cr)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (12Cr)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"75 – 325";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 175";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"175 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 425";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 425";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 425";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 425";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 425";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel (200)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel Cast Iron (15-35Ni)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel-Copper (400)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 325";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Ni-Cr-Fe Alloy (600/ 690)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 275";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Ni-Mo Alloy (Ni-30Mo; B-2)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 425";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Niobium (Columbium)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"0 – 212";"<2";"";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Silicon Cast Iron (14Si)";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"52 – 237";"<2";"with sulfuric acid";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Silver";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Steels, Carbon/ Low Alloy";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 125";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Steels, Carbon/ Low Alloy";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"125 – 425";"<20";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Tantalum";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 175";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Titanium, Unalloyed";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"";"100";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
