sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Bornyl acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 175";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Gold/ Platinum";"bornyl acetate";"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol acetate, endo";"76-49-3";"C12H20O2";"esters";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
