sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butyl stearate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper-Nickel";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (12Cr)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (17Cr)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Gold/ Platinum";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"butyl stearate";"123-95-5";"C22H44O2";"esters";"100";"77 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
