sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methyl formate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"5 – 30";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"100";"25 – 75";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"5 – 30";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"100";"25 – 75";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"5 – 30";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"100";"25 – 75";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"100";"25 – 75";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"5 – 30";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"100";"25 – 75";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"5 – 30";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"100";"25 – 75";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Brass (>15Zn)";"methyl formate";"107-31-3";"C2H4O2";"esters";"severe corrosion with oxygen ingress";"5 – 30";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Brass (>15Zn)";"methyl formate";"107-31-3";"C2H4O2";"esters";"severe corrosion with oxygen ingress";"100";"25 – 75";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cast Iron, Gray/ Ductile";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"5 – 30";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cast Iron, Gray/ Ductile";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"100";"25 – 75";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper/ Bronze/ Low Brass";"methyl formate";"107-31-3";"C2H4O2";"esters";"severe corrosion with oxygen ingress";"5 – 30";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper/ Bronze/ Low Brass";"methyl formate";"107-31-3";"C2H4O2";"esters";"severe corrosion with oxygen ingress";"100";"25 – 75";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Copper-Nickel";"methyl formate";"107-31-3";"C2H4O2";"esters";"severe corrosion with oxygen ingress";"5 – 30";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Copper-Nickel";"methyl formate";"107-31-3";"C2H4O2";"esters";"severe corrosion with oxygen ingress";"100";"25 – 75";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Lead";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"100";"25 – 75";"<2";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
