sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Beryllium fluoride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"25 – 75";"<20";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<20";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"25 – 75";"<20";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<20";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"125 – 175";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"175 – 225";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"25 – 75";"<20";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<20";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"25 – 75";"<20";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<20";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Brass (>15Zn)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"25 – 75";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Brass (>15Zn)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cast Iron, Gray/ Ductile";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"125 – 175";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Copper/ Bronze/ Low Brass";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"25 – 75";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Copper/ Bronze/ Low Brass";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper-Nickel";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"25 – 75";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Copper-Nickel";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Gold/ Platinum";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<2";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Lead";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel (200)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel (200)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel-Copper (400)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel-Copper (400)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Ni-Cr-Fe Alloy (600/ 690)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Mo Alloy (Ni-30Mo; B-2)";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Silver";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"25 – 225";"<2";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Steels, Carbon/ Low Alloy";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"5 – 15";"25 – 75";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Steels, Carbon/ Low Alloy";"beryllium fluoride";"7787-49-7";"BeF2";"salts";"100";"175 – 225";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
