sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrogen sulfide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"hydrogen sulfide";"wet or dry";"7783-06-04";"H2S";"gases";"";"4";"392";"<2";"";"64,150,180,219,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 175";"<2";"also wet at 20°C (68°F)";"64,150,180,219,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"175 – 475";"<20";"";"64,150,180,219,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"hydrogen sulfide";"wet or dry";"7783-06-04";"H2S";"gases";"";"4";"392";"<2";"";"64,150,180,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-6Mo (254SMO/ 6XN)";"hydrogen sulfide";"wet";"7783-06-04";"H2S";"gases";"";"100";"68";"<2";"";"64,150,180,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hydrogen sulfide";"wet or dry";"7783-06-04";"H2S";"gases";"";"4";"392";"<2";"";"64,150,180,219,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 175";"<2";"also wet at 20°C (68°F)";"64,150,180,219,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"175 – 475";"<20";"";"64,150,180,219,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"hydrogen sulfide";"wet or dry";"7783-06-04";"H2S";"gases";"";"4";"392";"<2";"";"64,150,180,219,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 175";"<2";"also wet at 20°C (68°F)";"64,150,180,219,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
