sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Allyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";">85";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";">85";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"hazardous!";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"85 – 95";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"85 – 95";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";">85";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (12Cr)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"225 – 275";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (17Cr)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 75";"20 – 50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel (200)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";">85";"25 – 75";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel (200)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"75 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel-Copper (400)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";">85";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel-Copper (400)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Ni-Cr-Fe Alloy (600/ 690)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Ni-Mo Alloy (Ni-30Mo; B-2)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"85 – 95";"75 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Mo Alloy (Ni-30Mo; B-2)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";">85";"25 – 75";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Mo Alloy (Ni-30Mo; B-2)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silicon Cast Iron (14Si)";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";">85";"52 – 237";"<2";"32,210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silver";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";">85";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Steels, Carbon/ Low Alloy";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"85 – 95";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Steels, Carbon/ Low Alloy";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 75";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Steels, Carbon/ Low Alloy";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"225 – 275";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Tantalum";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Titanium, Unalloyed";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Zirconium";"allyl chloride";"3-chloropropene";"107-05-1";"C3H5Cl";"halogenated aliphatics";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
