sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dichlorobutane";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Aluminum Alloy (3003/ 5154)";"dichlorobutane";"halogenated aliphatics";"possible hazard";"100";"25 – 225";"<20";"severe corrosion with oxygen ingress";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Brass (>15Zn)";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cast Iron, Gray/ Ductile";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Copper/ Bronze/ Low Brass";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Copper-Nickel";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cr Stainless Steel (12Cr)";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cr Stainless Steel (17Cr)";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Gold/ Platinum";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Nickel (200)";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Nickel Cast Iron (15-35Ni)";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nickel-Copper (400)";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Ni-Cr-Fe Alloy (600/ 690)";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Silicon Cast Iron (14Si)";"dichlorobutane";"halogenated aliphatics";"";"100";"52 – 237";"<20";"";"210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Steels, Carbon/ Low Alloy";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Superferritic Stainless Steel (26-1)";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Tantalum";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Titanium, Unalloyed";"dichlorobutane";"halogenated aliphatics";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
