sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dichlorobutene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Aluminum Alloy (3003/ 5154)";"dichlorobutene";"halogenated aliphatics";"hazardous!";"100";"25 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Brass (>15Zn)";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cast Iron, Gray/ Ductile";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 175";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Copper/ Bronze/ Low Brass";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Copper-Nickel";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cr Stainless Steel (12Cr)";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cr Stainless Steel (17Cr)";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Gold/ Platinum";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Nickel (200)";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Nickel-Copper (400)";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Ni-Cr-Fe Alloy (600/ 690)";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Silicon Cast Iron (14Si)";"dichlorobutene";"halogenated aliphatics";"";"100";"52 – 237";"<20";"210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Steels, Carbon/ Low Alloy";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 175";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Superferritic Stainless Steel (26-1)";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Tantalum";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Titanium, Unalloyed";"dichlorobutene";"halogenated aliphatics";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
