sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylidene chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"ethylidene chloride";"halogenated aliphatics";"";"100";"75 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ethylidene chloride";"halogenated aliphatics";"";"100";"75 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"ethylidene chloride";"halogenated aliphatics";"";"100";"75 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"ethylidene chloride";"halogenated aliphatics";"hazardous!";"5 – 15";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"ethylidene chloride";"halogenated aliphatics";"possible hazard";"100";"25 – 125";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"ethylidene chloride";"halogenated aliphatics";"possible hazard";"100";"125 – 175";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ethylidene chloride";"halogenated aliphatics";"";"5 – 15";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ethylidene chloride";"halogenated aliphatics";"";"100";"75 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ethylidene chloride";"halogenated aliphatics";"";"100";"75 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Brass (>15Zn)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper/ Bronze/ Low Brass";"ethylidene chloride";"halogenated aliphatics";"";"5 – 15";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper/ Bronze/ Low Brass";"ethylidene chloride";"halogenated aliphatics";"";"5 – 15";"75 – 175";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Copper/ Bronze/ Low Brass";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 175";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Copper/ Bronze/ Low Brass";"ethylidene chloride";"halogenated aliphatics";"";"100";"175 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Lead";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel (200)";"ethylidene chloride";"halogenated aliphatics";"";"5 – 15";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel (200)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel Cast Iron (15-35Ni)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel-Copper (400)";"ethylidene chloride";"halogenated aliphatics";"";"5 – 15";"25 – 175";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel-Copper (400)";"ethylidene chloride";"halogenated aliphatics";"";"5 – 15";"175 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel-Copper (400)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Ni-Cr-Fe Alloy (600/ 690)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Silicon Cast Iron (14Si)";"ethylidene chloride";"halogenated aliphatics";"";">85";"52 – 237";"<20";"210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Steels, Carbon/ Low Alloy";"ethylidene chloride";"halogenated aliphatics";"";"5 – 15";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Steels, Carbon/ Low Alloy";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Titanium, Unalloyed";"ethylidene chloride";"halogenated aliphatics";"";"5 – 15";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Titanium, Unalloyed";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Zirconium";"ethylidene chloride";"halogenated aliphatics";"";"5 – 15";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Zirconium";"ethylidene chloride";"halogenated aliphatics";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
