sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Iodoform";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Copper/ Bronze/ Low Brass";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"100";"246 – 275";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Copper/ Bronze/ Low Brass";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"100";"275 – 325";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Gold/ Platinum";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Lead";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Nickel (200)";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Nickel-Copper (400)";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Ni-Cr-Fe Alloy (600/ 690)";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Ni-Mo Alloy (Ni-30Mo; B-2)";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Silver";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Tantalum";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Titanium, Unalloyed";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Zirconium";"iodoform";"triiodomethane";"75-47-8";"CHI3";"halogenated aliphatics";"<1";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
