sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methylene bromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Brass (>15Zn)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Cast Iron, Gray/ Ductile";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Copper/ Bronze/ Low Brass";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nickel (200)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel Cast Iron (15-35Ni)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel-Copper (400)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Ni-Cr-Fe Alloy (600/ 690)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Ni-Mo Alloy (Ni-30Mo; B-2)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Silicon Cast Iron (14Si)";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Steels, Carbon/ Low Alloy";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Titanium, Unalloyed";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Zirconium";"methylene bromide";"dibromomethane";"74-95-3";"CH2Br2";"halogenated aliphatics";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
